nom,roadname,gestionnaire,parc_id,sens_aire,nature,core,double,amenageur,operateur,p_cum,p_max,id_station_itinerance,station_id
A11 - VARADES - PAYS D'ANCENIS,,COFIROUTE,1272,,aire de service,True,,,,,,,
A11 - VARADES - PAYS DE LA LOIRE,,COFIROUTE,1958,,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,1150.0,175.0,FRHPCPNF069703TOTEM,11027
,,,2421,,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,450.0,175.0,FRHPCPNF080173TOTEM,11116
,,,2304,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,400.0,150.0,FRHPCPNF079761,11089
,,,2419,,aire de service,False,,,,,,,
,,,2303,,aire de service,False,,,,,,,
,,,2305,,aire de service,True,,,,,,,
,,,2308,,aire de service,False,,Shell Recharge,Shell Recharge,2094.0,300.0,FRSHEP5605635,16594
,,,2308,,aire de service,False,,Shell Recharge,Shell Recharge,50.0,50.0,FRSHEPIQX2W49PF74,16598
,,,2398,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,900.0,300.0,FRHPCPNF078576,11083
,,,2309,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,400.0,150.0,FRHPCPNF078226,11065
,,,2311,,aire de service,False,,,,,,,
,,,2400,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,450.0,175.0,FRHPCPNF059994TOTEM,11012
,,,2400,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,450.0,175.0,FRHPCPNF069303TOTEM,11026
La Paplonnière,,,1728,,aire de repos,False,,,,,,,
La Sorinière,,,1729,,aire de repos,False,,,,,,,
Château de Ricoudet,,,1736,,aire de repos,False,,,,,,,
,,,2313,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,1150.0,175.0,FRHPCPNF078244,11071
,,,2295,,aire de service,True,,,,,,,
,,,2315,,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,2400.0,300.0,FRHPCPNF042596,10928
,,,2316,,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,2400.0,300.0,FRHPCPNF042589,10926
,,,2401,,aire de service,True,,,,,,,
,,,2317,,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,400.0,150.0,FRHPCPNF038545TOTEMSA,10917
,,,2318,,aire de service,False,,Atlante,Atlante France,1222.0,150.0,FRATLPZ330FR22ETAP000001,6696
,,,2318,,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,400.0,150.0,FRHPCPNF078190,11059
,,,2319,,aire de service,False,,,,,,,
,,,2320,,aire de service,False,,Ionity,Ionity,2243.0,350.0,FRIOYP9587394,11637
Giberville nord,,,1960,nord,aire de service,False,,Ionity,Ionity,2243.0,350.0,FRIOYP9587313,11602
Giberville sud,,,2222,sud,aire de service,False,,Ionity,Ionity,2243.0,350.0,FRIOYP9587323,11609
Haras Ouest,,,1285,ouest,aire de service,False,,,,,,,
Haras Est,,,1971,est,aire de service,False,,Shell Recharge,Shell Recharge,1947.0,300.0,FRSHEP5222199,16582
Risle et Charentonne,,,1836,,aire de repos,False,,,,,,,
Rougemontiers,,,1863,,aire de repos,True,,,,,,,
Eturqueraye,,,1864,,aire de repos,True,,,,,,,
Le Moulin,,,1865,,aire de repos,False,,,,,,,
Josapha,,,1866,,aire de repos,False,,,,,,,
Beuzeville nord,,,1959,nord,aire de service,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,50.0,50.0,FRHPCPNF078544,11077
Beuzeville nord,,,1959,nord,aire de service,False,,ENGIE Vianeo,ENGIE Vianeo,2184.0,300.0,FRVIAP102101,18104
Beuzeville sud,,,2225,sud,aire de service,False,,ENGIE Vianeo,ENGIE Vianeo,2422.0,300.0,FRVIAP102102,18105
Annebault,,,1849,,aire de repos,False,,,,,,,
Beaumont-en-Auge,,,1850,,aire de repos,False,,,,,,,
Ecretteville-lès-Baons Nord,,,1876,nord,aire de repos,False,,,,,,,
Ecretteville-lès-Baons Sud,,,1877,sud,aire de repos,False,,,,,,,
Bolleville Nord,,,1293,nord,aire de service,False,,,,,,,
Bolleville Sud,,,1962,sud,aire de service,False,,Ionity,Ionity,843.0,350.0,FRIOYP9587529,11685
Bolleville Sud,,,1962,sud,aire de service,False,,Ionity,Ionity,843.0,350.0,FRIOYP9587532,11688
Falaises de Widehem Est,,,1914,est,aire de repos,False,,TotalEnergies Marketing France,TotalEnergies Marketing France,50.0,50.0,FRHPCPNF080347TOTEMTIERS,11148
Falaises de Widehem Ouest,,,1915,ouest,aire de repos,False,,,,,,,
,,,2322,,aire de service,False,,,,,,,
,,,2321,,aire de service,False,,,,,,,
Zutkerque,,,1918,,aire de repos,False,,,,,,,
Nortkerque,,,1919,,aire de repos,False,,,,,,,
,,,2344,,aire de service,True,,,,,,,
Grand Riez,,,1916,,aire de repos,False,,,,,,,
Villefleur,,,1917,,aire de repos,False,,,,,,,
Saint-Hilaires-Cottes Ouest,,,2024,ouest,aire de service,False,,,,,,,
Rely Est,,,2203,est,aire de service,False,,Fastned France,Fastned France,1200.0,300.0,FRFASP11568724,10598
Rely Est,,,2203,est,aire de service,False,,Ionity,Ionity,1543.0,350.0,FRIOYP9587445,11654
Bois de la Commanderie,,,1910,,aire de repos,False,,,,,,,
Fond de la Commanderie,,,1911,,aire de repos,False,,,,,,,
La Hétroye,,,1900,,aire de repos,False,,,,,,,
