id_pdc_itinerance,id_station_itinerance
FRTSLE0005O9,FRTSLP30249
FRTSLE0005OB,FRTSLP30249
FRTSLE0004B5,FRTSLP5675
FRTSLE0NBHKC,FRTSLP33157
FRTSLE0NBHKM,FRTSLP33157
FRTSLE0004D1,FRTSLP3972
FRTSLE0JXXTC,FRTSLP30203
FRTSLE1Y4BUF,FRTSLP437609
FRTSLE0NBHKS,FRTSLP33157
FRTSLE1Y4BUH,FRTSLP437609
FRTSLE10EXIA,FRTSLP3078
FRTSLE0ZU3BU,FRTSLP32666
FRTSLE0ZU39X,FRTSLP32666
FRTSLE14J3WH,FRTSLP5674
FRTSLE0004SF,FRTSLP16732
FRTSLE12KBUQ,FRTSLP1726
FRTSLE12KBUP,FRTSLP1726
FRTSLE00053T,FRTSLP21027
FRTSLE00053H,FRTSLP21027
FRTSLE00053V,FRTSLP21027
FRTSLE3C953K,FRTSLP3078
FRTSLE0DMGUK,FRTSLP4003025
FRTSLE1Y4BU5,FRTSLP437609
FRTSLE0JXXT9,FRTSLP30203
FRTSLE0005R7,FRTSLP30029
FRTSLE10KEQA,FRTSLP34059
FRTSLE1713KW,FRTSLP30029
FRTSLE0004ST,FRTSLP16732
FRTSLE0KP7C6,FRTSLP30253
FRTSLE0004S9,FRTSLP16732
FRTSLE1Y4BXG,FRTSLP437609
FRTSLE1Y4BUB,FRTSLP437609
FRTSLE0004SN,FRTSLP16732
FRTSLE0DD6CA,FRTSLP3078
FRTSLE00P935,FRTSLP30148
FRTSLE0004GH,FRTSLP1726
FRTSLE0ZU3CI,FRTSLP32666
FRTSLE000467,FRTSLP5671
FRTSLE0003IP,FRTSLP5670
FRTSLE000469,FRTSLP5671
FRTSLE00046B,FRTSLP5671
FRTSLE0003IH,FRTSLP5670
FRTSLE00046F,FRTSLP5671
FRTSLE0004B9,FRTSLP5675
FRTSLE0003FV,FRTSLP7320
FRTSLE0004CZ,FRTSLP3972
FRTSLE0003IX,FRTSLP5670
FRTSLE0004BH,FRTSLP5675
FRTSLE0004CV,FRTSLP3972
FRTSLE0005QZ,FRTSLP30029
FRTSLE0003FN,FRTSLP7320
FRTSLE0I9AAD,FRTSLP29713
FRTSLE0I998S,FRTSLP29713
FRTSLE1713B8,FRTSLP30029
FRTSLE0C6GWV,FRTSLP29904
FRTSLE0003IJ,FRTSLP5670
FRTSLE0I9AAC,FRTSLP29713
FRTSLE0I9AA9,FRTSLP29713
FRTSLE0005R9,FRTSLP30029
FRTSLE0005RX,FRTSLP30029
FRTSLE0005SH,FRTSLP30029
FRTSLE1712V6,FRTSLP30029
FRTSLE0DMGUY,FRTSLP4003025
FRTSLE0003H9,FRTSLP5673
FRTSLE0003FL,FRTSLP7320
FRTSLE0RDGX0,FRTSLP59510
FRTSLE10KEQG,FRTSLP34059
FRTSLE1BRTZY,FRTSLP6431
FRTSLE0003IT,FRTSLP5670
FRTSLE0005R3,FRTSLP30029
FRTSLE0003I1,FRTSLP5673
FRTSLE2IA0NG,FRTSLP413105
FRTSLE000463,FRTSLP5671
FRTSLE00046H,FRTSLP5671
FRTSLE0DMGUO,FRTSLP4003025
FRTSLE0NBHKH,FRTSLP33157
FRTSLE1712V7,FRTSLP30029
FRTSLE0005RZ,FRTSLP30029
FRTSLE0005RB,FRTSLP30029
FRTSLE00050N,FRTSLP20265
FRTSLE0004S3,FRTSLP16732
FRTSLE3FP2A6,FRTSLP3078
FRTSLE0KPW1Z,FRTSLP20265
FRTSLE0004BF,FRTSLP5675
FRTSLE0004H9,FRTSLP1726
FRTSLE0003KN,FRTSLP3078
FRTSLE0003KL,FRTSLP3078
FRTSLE0004SD,FRTSLP16732
FRTSLE0005MR,FRTSLP30181
FRTSLE0005MT,FRTSLP30181
FRTSLE0005N5,FRTSLP30181
FRTSLE0005N1,FRTSLP30181
FRTSLE0004S7,FRTSLP16732
FRTSLE14J3WG,FRTSLP5674
FRTSLE0KPW1Y,FRTSLP20265
FRTSLE0004SV,FRTSLP16732
FRTSLE00P97P,FRTSLP30148
FRTSLE0CNG3O,FRTSLP29905
FRTSLE0CNG4R,FRTSLP29905
FRTSLE0DFD1O,FRTSLP29905
FRTSLE0DM4WH,FRTSLP29905
FRTSLE0005S5,FRTSLP30029
FRTSLE0KPW2H,FRTSLP20265
FRTSLE0DM49J,FRTSLP29905
