,id_station_itinerance,month,energy
553,FRTSLP28329,4,37217.089
554,FRTSLP28329,5,81238.31
555,FRTSLP28329,6,79675.146
556,FRTSLP28329,7,164753.551
557,FRTSLP28329,8,168594.987
558,FRTSLP28329,9,71874.2907
559,FRTSLP28396,3,989.3580000000001
560,FRTSLP28396,4,89908.775
561,FRTSLP28396,5,69904.67
562,FRTSLP28396,6,79917.507
563,FRTSLP28396,7,169282.148
564,FRTSLP28396,8,156667.298
565,FRTSLP28396,9,49811.5202
566,FRTSLP28456,3,3297.585
567,FRTSLP28456,4,156217.42
568,FRTSLP28456,5,145668.327
569,FRTSLP28456,6,173144.049
570,FRTSLP28456,7,212143.223
571,FRTSLP28456,8,213747.693
572,FRTSLP28456,9,168533.3335
573,FRTSLP28609,3,1933.461
574,FRTSLP28609,4,90340.228
575,FRTSLP28609,5,78144.461
576,FRTSLP28609,6,69752.162
577,FRTSLP28609,7,121184.867
578,FRTSLP28609,8,150398.143
579,FRTSLP28609,9,88529.1374
580,FRTSLP28778,3,1321.849
581,FRTSLP28778,4,123149.379
582,FRTSLP28778,5,110191.259
583,FRTSLP28778,6,110145.429
584,FRTSLP28778,7,211952.582
585,FRTSLP28778,8,241048.881
586,FRTSLP28778,9,69218.8892
587,FRTSLP28780,3,1075.605
588,FRTSLP28780,4,69325.249
589,FRTSLP28780,5,64254.946
590,FRTSLP28780,6,59808.101
591,FRTSLP28780,7,119528.657
592,FRTSLP28780,8,106289.451
593,FRTSLP28780,9,70079.5227
594,FRTSLP28781,3,1962.717
595,FRTSLP28781,4,103444.376
596,FRTSLP28781,5,89908.641
597,FRTSLP28781,6,88156.574
598,FRTSLP28781,7,149974.225
599,FRTSLP28781,8,196261.901
600,FRTSLP28781,9,77460.294
601,FRTSLP28783,3,1548.793
602,FRTSLP28783,4,126063.175
603,FRTSLP28783,5,119698.161
604,FRTSLP28783,6,111768.727
605,FRTSLP28783,7,187205.445
606,FRTSLP28783,8,188524.516
607,FRTSLP28783,9,86239.1399
608,FRTSLP29155,3,2129.113
609,FRTSLP29155,4,69307.053
610,FRTSLP29155,5,65741.637
611,FRTSLP29155,6,71042.213
612,FRTSLP29155,7,85040.206
613,FRTSLP29155,8,95751.66
614,FRTSLP29155,9,67551.2609
615,FRTSLP29159,3,8264.726
616,FRTSLP29159,4,406085.856
617,FRTSLP29159,5,395875.078
618,FRTSLP29159,6,418657.3866
619,FRTSLP29159,7,441138.592
620,FRTSLP29159,8,427277.3388
621,FRTSLP29159,9,412329.7933
622,FRTSLP29384,3,2933.815
623,FRTSLP29384,4,143527.376
624,FRTSLP29384,5,155376.829
625,FRTSLP29384,6,155135.665
626,FRTSLP29384,7,185441.581
627,FRTSLP29384,8,212811.542
628,FRTSLP29384,9,133568.5331
629,FRTSLP29498,3,2193.438
630,FRTSLP29498,4,193373.478
631,FRTSLP29498,5,165607.897
632,FRTSLP29498,6,203282.994
633,FRTSLP29498,7,334548.28
634,FRTSLP29498,8,261703.705
635,FRTSLP29498,9,146526.0034
636,FRTSLP29508,3,2732.929
637,FRTSLP29508,4,134840.353
638,FRTSLP29508,5,137524.558
639,FRTSLP29508,6,155250.1
640,FRTSLP29508,7,191676.409
641,FRTSLP29508,8,199977.667
642,FRTSLP29508,9,141897.0595
643,FRTSLP29532,3,6175.936
644,FRTSLP29532,4,270750.603
