Aire,NomUsuel,Nature,GVO,Surface,Réseau,Axe
RRN C,Lormaison Ouest,R,SANEF,37338.68568,C,A16
RRN C,Lormaison Est,R,SANEF,35230.92604,C,A16
RRN C,Grand Courtil,R,SANEF,29663.81298,C,A16
RRN C,Grand Bois,R,SANEF,42203.69163,C,A16
RRN C,Vallee de la Selle Est,R,SANEF,53754.33564,C,A16
RRN C,Aire de la Rouge Haie - Les châtaigniers,R,APRR,14951.72889,C,A6
RRN C,Le Lavaret,R,AREA,6858.18007,C,A43
RRN C,Neuville sur Ain,R,APRR,8343.8706,C,A40
RRN C,Saint-Martin-aux-Arbres Sud,R,SAPN,33739.54522,C,A29
RRN C,Saint-Martin-aux-Arbres Nord,R,SAPN,28928.99492,C,A29
RRN C,Cottevrard Sud,P,SAPN,3913.59018,C,A29
RRN C,Quetteville Nord,P,SAPN,2684.71001,C,A29
RRN C,Ripaille,S,AREA,40938.11232,C,A41
RRN C,PECH MONTAT Flux 1,S,ASF,57107.62578,C,A20
RRN C,Aire de l'Adour,S,ALIENOR,36963.81661,C,A65
RRN C,Aire du Marsan,R,ALIENOR,16081.61715,C,A65
RRN C,Ocean Est,S,ATLANDES,137033.8946,C,A63
RRN C,Ocean Ouest,S,ATLANDES,134180.9054,C,A63
RRN C,Rumaucourt,S,SANEF,43637.2811,C,A26
RRN C,Verdun Saint Nicolas Nord,S,SANEF,46018.02224,C,A4
RRN C,Verdun Saint Nicolas Sud,S,SANEF,41935.7648,C,A4
RRN C,Saverne Eckartswiller,S,SANEF,55967.00055,C,A4
RRN C,Saverne Monswiller,S,SANEF,54996.68644,C,A4
RRN C,Urvillers,S,SANEF,115484.0556,C,A26
RRN C,Montigny le Roi,S,APRR,36959.48102,C,A31
RRN C,Aire de Val de Meuse,S,APRR,19950.99708,C,A31
RRN C,LACQ AUDEJOS NORD,S,ASF,25765.02289,C,A64
RRN C,LACQ AUDEJOS SUD,S,ASF,31562.60522,C,A64
RRN C,Villeroy,S,APRR,50577.70541,C,A19
RRN C,Aire de la Dentelle d'Alen?on,S,COFIROUTE,61107.77914,C,A28
RRN C,Villers-Bretonneux,S,SANEF,41261.20316,C,A29
RRN C,Aire Marcel Pagnol,S,ESCOTA,22306.83813,C,A52
RRN C,NAUZE VERT,S,ASF,19967.35888,C,A20
RRN C,SORGUES,S,ASF,69404.92238,C,A7
RRN C,St Nazaire - Les Eymes,S,AREA,25543.43941,C,A41
RRN C,Aire de Longué-la Couaille,S,COFIROUTE,21713.64826,C,A85
RRN C,Longue-les-Cossonnieres,S,COFIROUTE,26540.53493,C,A85
RRN C,Troyes - Fresnoy,S,APRR,103650.5499,C,A5
RRN C,Troyes - le Plessis,S,APRR,78776.79184,C,A5
RRN C,Les Jonchets - La Grande Paroisse,S,APRR,73520.72592,C,A5
RRN C,Les Jonchets - Les Recompenses,S,APRR,205657.8221,C,A5
RRN C,Aire de Sommessous,S,SANEF,114883.8437,C,A26
RRN C,Rosny-sur-Seine Nord,S,SAPN,22125.38488,C,A13
RRN C,Valmy Orbeval,S,SANEF,32637.87443,C,A4
RRN C,Valmy Le Moulin,S,SANEF,52255.95607,C,A4
