,p_cum,id_station_itinerance,p_max,node_id,core,parc_nature,parc_id
1945,1543.0,FRIOYP860FYJNUNG6O,350.0,6811,False,aire de service,parc 860
1946,2243.0,FRIOYP1CO24M7COVQC,350.0,6823,True,aire de service,parc 1044
1947,66.0,FRIOYP4518,22.0,6826,False,aire de service,parc 1014
1948,3169.16,FRLMSP89601389,300.0,6835,False,aire de service,parc 1206
1949,50.0,FRALLEGO800004,50.0,6878,False,aire de service,parc 1232
1950,1543.0,FRIOYP50SH2FWE3MHM,350.0,6897,False,aire de service,parc 1254
1951,3072.0,FRVIAP101104,300.0,6900,False,aire de service,parc 1059
1952,2250.5,FRVIAP103116,300.0,6906,False,aire de service,parc 1229
1953,2250.5,FRVIAP103104,300.0,6915,False,aire de service,parc 947
1954,600.0,FRALLEGO800044,300.0,6927,True,aire de service,parc 832
1955,600.0,FRALLEGO800010,300.0,6941,False,aire de service,parc 1090
1956,5186.0,FRIOYP3H4GZD0LKDXV,350.0,6948,True,aire de service,parc 953
1957,1000.0,FRVIAP102119,400.0,6956,False,aire de service,parc 882
1958,66.0,FRIOYP7BNI73CB6OOQ,22.0,6974,True,aire de service,parc 999
1959,5244.0,FRELCPAAARZS,300.0,7002,True,aire de service,parc 990
1960,2250.82,FRLMSP89369704,300.0,7025,False,aire de service,parc 885
1961,4486.0,FRIOYP3B7FE5I4FYW7,350.0,7038,True,aire de service,parc 1022
1962,4486.0,FRIOYP4XNBORV0A7BF,350.0,7066,True,aire de service,parc 917
1963,2250.5,FRVIAP103106,300.0,7071,False,aire de service,parc 948
1964,2472.0,FRVIAP101107,300.0,7081,False,aire de service,parc 1085
1965,4362.0,FRVIAP104114,300.0,7106,True,aire de service,parc 1111
1966,2250.82,FRLMSP89369701,300.0,7127,True,aire de service,parc 1143
1967,3144.0,FRVIAP104103,300.0,7128,False,aire de service,parc 1206
1968,2243.0,FRIOYP79QRYOSW8OUU,350.0,7135,False,aire de service,parc 842
1969,4584.58,FRLMSP89370720,300.0,7168,True,aire de service,parc 1072
1970,3338.0,FRATLPFR00307,300.0,7184,True,aire de service,parc 1017
1971,2250.82,FRLMSP89369714,300.0,7199,False,aire de service,parc 1047
1972,66.0,FRIOYP4545,22.0,7212,False,aire de service,parc 804
1973,3444.0,FRELCPAAVITE,300.0,7216,False,aire de service,parc 1265
1974,5743.0,FRIOYP29ZIAU62NHPI,350.0,7246,True,aire de service,parc 1003
1975,3384.5,FRVIAP102114,300.0,7279,True,aire de service,parc 1088
1976,2822.0,FRELCPAARIV,400.0,7299,True,aire de service,parc 1261
1977,1543.0,FRIOYP64C96P7MING5,350.0,7347,True,aire de service,parc 1039
1978,1000.0,FRVIAP111105,400.0,7360,True,aire de service,parc 1040
1979,600.0,FRALLEGO800032,300.0,7375,True,aire de service,parc 811
1980,50.0,FRALLP7C8MXCI0YK2R,50.0,7381,False,aire de service,parc 1090
1981,1543.0,FRIOYP3ZU1M2QNSDXQ,350.0,7386,False,aire de service,parc 807
1982,2100.0,FRIOYP8QTRMTKQ7WGM,350.0,7389,True,aire de service,parc 1054
1983,2184.0,FRVIAP102113,300.0,7419,False,aire de service,parc 1078
1984,4643.0,FRIOYP8M63S5LIVHC9,400.0,7430,True,aire de service,parc 1061
1985,2243.0,FRIOYP73Y1FKEUL48S,350.0,7435,False,aire de service,parc 935
1986,3086.0,FRIOYP5XN0B79RQEVQ,350.0,7443,False,aire de service,parc 829
1987,3264.0,FRVIAP104105,300.0,7464,False,aire de service,parc 1118
1988,1543.0,FRIOYP4U839BCFS6GU,350.0,7480,False,aire de service,parc 1140
1989,2250.82,FRLMSP89369712,300.0,7483,True,aire de service,parc 1263
1990,650.0,FRALLEGO800021,300.0,7500,False,aire de service,parc 838
1991,3144.0,FRVIAP104110,300.0,7502,False,aire de service,parc 1024
1992,2250.82,FRLMSP89369708,300.0,7508,False,aire de service,parc 948
1993,2243.0,FRIOYP6HHYDEC231ET,350.0,7522,True,aire de service,parc 1002
1994,2943.0,FRIOYP1H4XYRAWY8UX,350.0,7533,True,aire de service,parc 989
1995,2243.0,FRIOYPL4M2EZW1ZM7,350.0,7547,True,aire de service,parc 1147
1996,650.0,FRALLEGO800040,300.0,7597,True,aire de service,parc 832
1997,2088.0,FRVIAP104107,300.0,7598,False,aire de service,parc 1119
1998,3384.58,FRLMSP89370716,300.0,7605,True,aire de service,parc 1088
1999,2243.0,FRIOYPG49UYG0VJSJ,350.0,7606,False,aire de service,parc 1235
2000,2100.0,FRIOYP54E1QINXYF36,350.0,7611,True,aire de service,parc 1120
2001,4736.64,FRLMSP89369713,300.0,7614,False,aire de service,parc 815
2002,1543.0,FRIOYP8NJLGEBZV6TS,350.0,7638,True,aire de service,parc 1104
