p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
300.0,600.0,FRVIAP2012206004,ENGIE Vianeo,ENGIE Vianeo,-1.513862,47.253181
22.0,22.0,FRS08P57692,Modulo,Modulo Energies,4.625257,49.828116
300.0,600.0,FRVIAP1234603105,ENGIE Vianeo,ENGIE Vianeo,6.814117,49.140441
150.0,150.0,FRELCPKLGT,Electra,Electra,4.961329,43.522289
150.0,300.0,FRALLPGO900049,Allego,Allego,3.045195,50.397031
200.0,200.0,FRELCPJZKV,Electra,Electra,2.989333,45.957027
150.0,300.0,FRALLPGO900393,Allego,Allego,-3.3953,47.765713
150.0,1222.0,FRATLPSAIN4701,Atlante France,Atlante,4.382431,48.945131
300.0,300.0,FRELCP2QPB,Electra,Electra,2.463384,48.968672
320.0,480.0,FRIENP003102,NW IECharge,NW IECharge,-0.075603,49.061746
150.0,900.0,FRTSLP1766,Tesla,Tesla,2.350217,48.755101
50.0,93.0,FRALLPGO002094,Allego,Allego,4.834461,43.927927
300.0,362.5,FRVIAP1000117009,ENGIE Vianeo,ENGIE Vianeo,1.929353,47.663705
17.0,17.0,FRS55P66301,Modulo,Modulo Energies,5.242708,48.593992
22.0,22.0,FRELCPQWRV,Electra,Electra,2.355376,48.875782
120.0,482.0,FRPD1PIBICRO,Power Dot France,Power Dot France,5.889822,45.271943
17.0,17.0,FRS28P137294,Modulo,Modulo Energies,1.135338,48.079532
300.0,600.0,FRVIAP2012208902,ENGIE Vianeo,ENGIE Vianeo,3.055943,50.546214
17.0,17.0,FRS28P127476,Modulo,Modulo Energies,1.328964,48.070716
17.0,17.0,FRS37P60636,Modulo,Modulo Energies,0.746969,47.346501
22.0,44.0,FRALLPGO900535,Allego,Allego,6.6283,45.952671
50.0,122.0,FRPD1PBRAVNR,Power Dot France,Power Dot France,3.253794,49.640713
150.0,300.0,FRALLPGO900435,Allego,Allego,2.555652,48.793533
75.0,200.0,FRALLPGO900242,Allego,Allego,2.350735,49.008866
17.0,17.0,FRS08P46468,Modulo,Modulo Energies,4.04481,49.428454
300.0,300.0,FRELCP7HWC,Electra,Electra,7.196502,43.709119
17.0,17.0,FRS28P126260,Modulo,Modulo Energies,1.632298,48.2765
250.0,8000.0,FRTSLP20437,Tesla,Tesla,1.378,44.036554
22.0,44.0,FRALLPGO900629,Allego,Allego,5.944368,45.573643
150.0,150.0,FRELCPR6C6,Electra,Electra,5.063726,45.688196
22.0,44.0,FRALLPGO900674,Allego,Allego,1.890501,50.952821
350.0,1543.0,FRIOYP4081,Ionity,Ionity,2.721676,48.264407
300.0,725.0,FRSHEP388,Shell Recharge,Shell Recharge,4.228823,48.729354
25.0,27.3,FRESEPS42218BT,E-Totem,E-Totem,4.388732,45.460156
180.0,742.0,FREVZP06FCDB01E9514762871075667A869,EVzen,Teychene - Bornes publiques,6.724555,49.124248
22.0,44.0,FRALLPGO900553,Allego,Allego,4.614702,43.817035
300.0,600.0,FRALLPGO900448,Allego,Allego,4.791251,43.927933
300.0,600.0,FRALLPGO800071,Allego,Allego,4.835428,44.786443
17.0,17.0,FRS37P214061,Modulo,Modulo Energies,0.745838,47.441886
250.0,7250.0,FRTSLP17341,Tesla,Tesla,0.166468,48.053197
17.0,17.0,FRS41P4440,Modulo,Modulo Energies,1.42975,47.421438
50.0,100.0,FRALLPGO700010,Allego,Allego,2.782318,48.853357
17.0,17.0,FRS37P215554,Modulo,Modulo Energies,1.096377,47.181837
150.0,425.0,FRSHEP323,Shell Recharge,Shell Recharge,0.096647,49.492827
150.0,544.0,FRETIP64483A,E-Totem,E-Totem,-1.629995,43.406066
75.0,200.0,FRALLPGO900282,Allego,Allego,4.805174,45.341917
250.0,6000.0,FRTSLP29905,Tesla,Tesla,4.811434,45.573666
400.0,400.0,FRELCP75W3,Electra,Electra,1.853181,47.90018
300.0,300.0,FRELCPFAN9,Electra,Electra,4.808868,45.324716
18.0,36.0,FRS77E77310001,Bouygues E&S,Ecocharge77,3.253999,48.383236
150.0,150.0,FRELCPPBZ8,Electra,Electra,-0.587263,44.783785
200.0,672.0,FRPD1PGFECON,Power Dot France,Power Dot France,0.369521,43.951182
300.0,300.0,FRELCP3SJY,Electra,Electra,5.256257,43.392152
22.0,22.0,FRELCPAGSM,Electra,Electra,2.217441,48.784501
300.0,362.5,FRVIAP1000116993,ENGIE Vianeo,ENGIE Vianeo,-0.325674,48.023719
300.0,300.0,FRELCPHRJ6,Electra,Electra,-2.158702,47.244652
50.0,50.0,FRVIAP1000148013,ENGIE Vianeo,ENGIE Vianeo,-0.502494,46.431088
150.0,1660.0,FRPD1PACNRCQ,Power Dot France,Power Dot France,3.137815,50.740891
300.0,600.0,FRVIAP1234603080,ENGIE Vianeo,ENGIE Vianeo,-2.209673,47.291624
300.0,600.0,FRVIAP1000130110,ENGIE Vianeo,ENGIE Vianeo,-0.325674,48.023719
100.0,394.0,FRPD1PACCSAT,Power Dot France,Power Dot France,0.164805,48.051587
22.0,44.0,FRALLPGO900909,Allego,Allego,3.26778,45.548187
150.0,150.0,FRELCPAK56,Electra,Electra,4.913252,44.912186
50.0,122.0,FREVZPD4F3CA83E07A4DE5A1C1BD3E31B9B,EVzen,Schiever - Bornes publiques,3.926136,47.49627
300.0,600.0,FRVIAP2012206903,ENGIE Vianeo,ENGIE Vianeo,5.446659,43.511202
17.0,17.0,FRS55P122900,Modulo,Modulo Energies,5.396898,48.610175
180.0,1182.0,FRPD1PCORDLS,Power Dot France,Power Dot France,7.496723,48.527606
200.0,672.17025,FRPD1PRTPFLR,Power Dot France,Power Dot France,-0.577051,48.733926
17.0,17.0,FRS28P126231,Modulo,Modulo Energies,1.48852,48.45289
150.0,150.0,FRELCPQ4LW,Electra,Electra,2.375687,48.845062
17.0,17.0,FRS51P66955,Modulo,Modulo Energies,3.991429,49.251015
50.0,122.0,FREVZP4955BFD012DF49AEB0AB41CDB883C,EVzen,Teychene - Bornes publiques,0.663808,45.19265
2.3,4.6,FRESEPS42218AW,E-Totem,E-Totem,4.386229,45.435811
