idx,coords,col_2,type,nom,dict,gestionnaire,sens,double
2894,"[43.359739, 3.346109]","[0.766044, 0.642788]",AS,A9 - BEZIERS MONTBLANC SUD,{'roadname': 'A9'},ASF,LE PERTHUS-ORANGE,
2926,"[43.548097, 3.795221]","[-0.777366, -0.629049]",AS,A9 - MONTPELLIER FABREGUES NORD,{'roadname': 'A9'},ASF,ORANGE-LE PERTHUS,
2927,"[43.544202, 3.792643]","[0.579992, 0.814622]",AS,A9 - MONTPELLIER FABREGUES SUD,{'roadname': 'A9'},ASF,LE PERTHUS-ORANGE,
2944,"[43.446784, 5.242514]","[0, 1]",AS,A7 - VITROLLES,{'roadname': 'A7'},ASF,MARSEILLE-LYON,
2962,"[43.715636, 4.13337]","[-0.617722, -0.786396]",AS,A9 - AMBRUSSUM NORD,{'roadname': 'A9'},ASF,ORANGE-LE PERTHUS,
2963,"[43.7151, 4.13337]","[0.62019, 0.7844519999999999]",AS,A9 - AMBRUSSUM SUD,{'roadname': 'A9'},ASF,LE PERTHUS-ORANGE,
2993,"[43.875411, 4.449594]","[-0.857077, -0.515188]",AS,A9 - MARGUERITTES NORD,{'roadname': 'A9'},ASF,ORANGE-LE PERTHUS,
2994,"[43.867968, 4.438508]","[0.446666, 0.894701]",AS,A9 - MARGUERITTES SUD,{'roadname': 'A9'},ASF,LE PERTHUS-ORANGE,
3016,"[43.92411, 4.912795]","[0.0552987, -0.9984700000000001]",AS,A7 - MORIERES,{'roadname': 'A7'},ASF,LYON-MARSEILLE,
3021,"[44.003343, 4.704366]","[-0.6083459999999999, -0.7936719999999999]",AS,A9 - TAVEL NORD,{'roadname': 'A9'},ASF,ORANGE-LE PERTHUS,
3022,"[43.999047, 4.699075]","[0.610422, 0.7920769999999999]",AS,A9 - TAVEL SUD,{'roadname': 'A9'},ASF,LE PERTHUS-ORANGE,
3028,"[44.215608, 4.723547]","[-0.148672, 0.9888859999999999]",AS,A7 - MORNAS LES ADRETS,{'roadname': 'A7'},ASF,MARSEILLE-LYON,
3029,"[44.194914, 4.731155]","[0.614698, -0.788762]",AS,A7 - MORNAS VILLAGE,{'roadname': 'A7'},ASF,LYON-MARSEILLE,
3033,"[44.022922, 4.889621]","[0.00890106, 0.9999600000000001]",AS,A7 - SORGUES,{'roadname': 'A7'},ASF,MARSEILLE-LYON,
3145,"[45.359449, 1.937509]","[0.699414, 0.7147169999999999]",AS,A89 - LA CORREZE,{'roadname': 'A89'},ASF,LYON-BORDEAUX,D
