,id_pdc_itinerance,point_de_charge_id
233,FRELCE5NM3,14b786e8-ac0a-431b-a971-bb67d9cff283
234,FRELCE5NR3,3aa81fe1-c015-441e-b68e-deef52b6f810
235,FRELCE5PNG,d44c91ad-8888-4a2a-8923-f8ead5a95a03
236,FRELCE5PQB,eb08ff15-8528-4c0f-a9a5-98c9a1a4200a
237,FRELCE5Q6L,259a8dce-df4e-40c2-8262-fc149cf17e14
238,FRELCE5SHF,08448bf1-b351-4008-b651-4fa43c55ab65
239,FRELCE5SMY,0b5e27a4-5a42-4c1d-b6f3-b49ea11aadd1
240,FRELCE5SVD,f196841c-d3f6-47e4-9f8f-7daa2d1af59c
241,FRELCE5TVT,3897bbcb-3728-47f7-80ff-144f75d904b8
242,FRELCE5TX5,be6568fe-683d-4a03-bc74-b2be850dd191
243,FRELCE5TYP,119a492a-f4ef-4ebf-a91c-035369432e5a
244,FRELCE5U8P,36bde684-5c89-4147-8f37-750ebc6cb613
245,FRELCE5URY,4744f81a-31cd-4983-9ea2-9268ec5e518a
246,FRELCE5VA5,75dbbace-4999-43f7-8683-e95e17f11642
247,FRELCE5W2L,02b8ce36-1a3c-4cca-912b-ae73f16ddd44
248,FRELCE5WPH,84571f3b-6715-4ccc-9ec8-2cfdbf70cfea
249,FRELCE5WR6,7a045269-a918-4bd7-ab14-3749885f54ec
250,FRELCE5XGH,f7051d57-dd6c-42d7-b752-aa2fcd76b4dc
251,FRELCE5XVT,d25bc632-d975-4c75-8e5e-790fa054709a
252,FRELCE5XXP,e493a920-04af-409a-8908-15779d8f6879
253,FRELCE5YNA,7688ee70-ec8b-4486-a25e-0e18fbb63323
254,FRELCE5YY6,1b8fb994-bdcd-463a-88e9-b012e15405a5
255,FRELCE5Z57,3b3c5b89-c7c6-475d-adaa-7d94ae85750e
256,FRELCE5ZZP,02140ccc-3891-44bf-8972-c70d6acee2bf
257,FRELCE62AD,9e677e62-b7e4-47e4-a90a-88694e47be5e
258,FRELCE63RT,1c4fd5ef-988b-4d3c-bc3c-b8f32198046b
259,FRELCE64FY,c4db5aeb-be16-41bb-91c6-3d6070cefa1f
260,FRELCE64HK,9f0b72d9-cfce-4766-9464-19ea0a3c32b1
261,FRELCE65CL,c4d6eacc-de40-4d0d-8f03-2e912e7720af
262,FRELCE65RS,f58e1c2a-3cca-4d3e-94d6-e48253069e44
263,FRELCE66P3,6c1fffcf-87f1-43e2-9afc-6d6684cecfc7
264,FRELCE66ZG,459eb819-bba7-48be-885e-54f1d8440954
265,FRELCE67P6,79323dc2-9334-4d35-840e-01325d472ca6
266,FRELCE67V6,85b95525-8544-466f-adba-21a2d10e3681
267,FRELCE6879,8d21410d-1878-4227-9fb3-db168778ff8d
268,FRELCE68Q2,ddd265ce-f3cd-481a-bf56-5257365aa23d
269,FRELCE69MG,a19012c1-1128-4758-a0ff-c3d8ef7918be
270,FRELCE69NR,92667b84-ffd8-4e9a-9eca-500f6d6600d8
271,FRELCE6AGN,b9c6066c-f7c9-4e4a-986a-6bc3b271fdea
272,FRELCE6AXS,139db1c4-b562-4985-b40e-ad8d3634b744
273,FRELCE6BFZ,6701628c-ed41-4fc3-8a27-faa441a78788
274,FRELCE6BJ8,aab939b3-c924-4613-93d0-dfaaa30b7d24
275,FRELCE6CWJ,b7febaef-b1b5-4186-94d5-a5da5ea9c557
276,FRELCE6CY9,7f3362cb-f23d-418f-b10e-98ccb7d20de4
277,FRELCE6DRZ,e31728f0-3d89-4932-86cd-27fcb8805498
278,FRELCE6DSN,235ffc97-514a-417c-a5b0-e3bf21887023
279,FRELCE6E24,a22c9f60-02c4-40c6-af0c-45b30a9edce2
280,FRELCE6EA2,ddd1cb72-509e-41f1-8caf-2f6325891373
281,FRELCE6ECK,5492ba4d-6487-4500-a9eb-0bf173a45ff9
282,FRELCE6ETX,6bdd3d7c-cc68-442f-bf0a-56d5c462de8e
283,FRELCE6FS7,9001081a-8b59-4717-9a5d-f4420c21e860
284,FRELCE6FWJ,0b6751b5-90a7-4a6f-8e76-333694dfac6b
285,FRELCE6G46,e3252802-95ef-4615-887b-73cca0546016
286,FRELCE6GJN,b9de41a0-4e48-42b7-a335-92b04e3f33b6
287,FRELCE6H3L,cf0c21f6-4deb-4c8d-9953-295aaf489979
288,FRELCE6HCS,d24fd0b6-4f0c-421d-86bc-3b6b24c6bf6a
289,FRELCE6HLQ,d3de6ff1-1ef1-4d3a-8c23-082addba05ec
290,FRELCE6HSE,33de8400-7825-40dc-a676-c7433d1e9298
291,FRELCE6JDS,44e50e62-04d3-4f15-9a94-f7d7d382996d
292,FRELCE6JF3,73900168-6f95-457d-8898-4390fb7c11dd
293,FRELCE6JXF,3d070f54-ea1c-4156-810f-6d386e5f50e2
294,FRELCE6KCM,5fa0e0ec-1b85-4cd4-bc0a-4efc56529564
295,FRELCE6KMJ,1822b2ec-6bc0-4f67-9f29-eb5e6fecaeab
296,FRELCE6KQQ,7c866c1b-5baf-4c24-98d3-2c17fa75eea2
297,FRELCE6KR8,f0b90765-67e7-4c31-87f5-ef977a8fab3c
298,FRELCE6LMD,aa98ae3c-9589-4c90-8c41-79ccdd2fc721
299,FRELCE6LTF,05ea3e45-dd37-4f41-827d-286c9e378455
300,FRELCE6M3E,9b9cbb04-7901-4472-a48b-d90e76c5cf4e
301,FRELCE6MSS,80ad979c-0db1-4d3d-9986-96f5318c39d6
302,FRELCE6MYJ,6afda90a-5243-4e3f-9c32-d9c122b1aa21
303,FRELCE6N8W,33d75c33-f0a8-4c85-82c3-7acf11e7532b
304,FRELCE6NCT,0b6afa90-fa9e-4374-a4a2-157f6df42436
305,FRELCE6PYB,a087df34-3059-4bff-9999-f4dd9a9e0eeb
306,FRELCE6Q3R,41724cf9-0333-4604-bf4b-41dcdc5390b3
307,FRELCE6QNX,ba8d0a8a-951f-440b-8029-077daa99136f
308,FRELCE6R6W,048775b7-5149-478f-92eb-0439ba88ef56
309,FRELCE6RKV,d0ed87b3-e2a2-4013-963a-f149f7f17149
310,FRELCE6S75,d9ce566c-acf0-42fb-953f-27adca9aedec
311,FRELCE6T42,dd753a5f-03fe-4ba8-8040-1084f2b40c3b
312,FRELCE6TVA,fd9ec4c9-3302-4b89-bf8d-2314fb259d85
313,FRELCE6TX4,413b9955-1dfb-4748-b94b-00d8b415d7c6
314,FRELCE6UAC,051adba6-4a9f-4587-9966-f798ca37fdef
315,FRELCE6US8,25dab30b-7e74-4313-8992-81f41b2a6b72
316,FRELCE6V6Z,74c896b6-dca6-4de1-8275-c3bd24efb35e
317,FRELCE6VCB,55e11c26-e80d-4c83-bb71-038a4344f669
318,FRELCE6VZM,10ba8ab9-4d31-405c-ab62-efa70ce0c785
319,FRELCE6W2G,1501ec6f-d01e-450e-b99e-cc7e9498edba
320,FRELCE6WH8,38b96f40-daa7-4f2e-bee5-5fb47b2835cf
321,FRELCE6X3K,d4b13cc8-47a0-4e8d-9a99-0ffcfa5a8b1e
